path,url,type,expected_content,indexable_expected,status,ok,content_type,html_like,xml_like,json_like,body_length,blank_like,final_url,error
/states/tn/cash-3/historical,https://winningnumbers.us/states/tn/cash-3/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74698,false,https://winningnumbers.us/states/tn/cash-3/historical,
/states/tn/cash-3/midday,https://winningnumbers.us/states/tn/cash-3/midday,session,html,true,200,true,text/html; charset=utf-8,true,false,false,211022,false,https://winningnumbers.us/states/tn/cash-3/midday,
/states/tn/cash-3/morning,https://winningnumbers.us/states/tn/cash-3/morning,session,html,true,200,true,text/html; charset=utf-8,true,false,false,211064,false,https://winningnumbers.us/states/tn/cash-3/morning,
/states/tn/cash-3/stats,https://winningnumbers.us/states/tn/cash-3/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,121492,false,https://winningnumbers.us/states/tn/cash-3/stats,
/states/tn/cash-4,https://winningnumbers.us/states/tn/cash-4,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,283235,false,https://winningnumbers.us/states/tn/cash-4,
/states/tn/cash-4/evening,https://winningnumbers.us/states/tn/cash-4/evening,session,html,true,200,true,text/html; charset=utf-8,true,false,false,220483,false,https://winningnumbers.us/states/tn/cash-4/evening,
/states/tn/cash-4/historical,https://winningnumbers.us/states/tn/cash-4/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74698,false,https://winningnumbers.us/states/tn/cash-4/historical,
/states/tn/cash-4/midday,https://winningnumbers.us/states/tn/cash-4/midday,session,html,true,200,true,text/html; charset=utf-8,true,false,false,220488,false,https://winningnumbers.us/states/tn/cash-4/midday,
/states/tn/cash-4/morning,https://winningnumbers.us/states/tn/cash-4/morning,session,html,true,200,true,text/html; charset=utf-8,true,false,false,220562,false,https://winningnumbers.us/states/tn/cash-4/morning,
/states/tn/cash-4/stats,https://winningnumbers.us/states/tn/cash-4/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,121512,false,https://winningnumbers.us/states/tn/cash-4/stats,
/states/tn/daily-tennessee-jackpot,https://winningnumbers.us/states/tn/daily-tennessee-jackpot,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,216572,false,https://winningnumbers.us/states/tn/daily-tennessee-jackpot,
/states/tn/daily-tennessee-jackpot/historical,https://winningnumbers.us/states/tn/daily-tennessee-jackpot/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,75054,false,https://winningnumbers.us/states/tn/daily-tennessee-jackpot/historical,
